ELEM_NR,STRSCHL,STR_NAME,STRKLASSE1,STRKLASSE,STRKLASSE2,VRICHT,BEZIRK,STADTTEIL,EBENE,VON_VP,BIS_VP,LAENGE,GILT_VON,OKSTRA_ID,alias,STR_BEZ
41550001_41550002.02,00025,Agricolastraße,V,G,STRA,B,Mitte,Moabit,0,41550001,41550002,198.55,20141204,725FF734723646939A28ED9919C70243,Agricolastraße,
41550016_41550002.02,02219,Jagowstraße,V,G,STRA,B,Mitte,Moabit,0,41550016,41550002,98.08,20141204,EF9D1B19EE434590B1C723995FF809AB,Jagowstraße,
41550022_41550016.02,04500,Tile-Wardenberg-Straße,V,G,STRA,B,Mitte,Moabit,0,41550022,41550016,129.69,20141204,7C1859F0F8314FD686C449DFDF6B0D22,Tile-Wardenberg-Straße,
41550015_41550016.02,02219,Jagowstraße,V,G,STRA,B,Mitte,Moabit,0,41550015,41550016,106.85,20141204,6150A2DAA9074AAB9D16D4EAA7BF263D,Jagowstraße,
41550025_41550015.02,04967,Wullenweberstraße,V,G,STRA,B,Mitte,Moabit,0,41550025,41550015,82.15,20141204,C727F3C08B114BAEBABAD257FAEB1FD1,Wullenweberstraße,
41550025_41550022.02,04851,Wikingerufer,V,G,STRA,B,Mitte,Moabit,0,41550025,41550022,112.48,20141204,195521E9931644AEA2B181079D5CDC19,Wikingerufer,
41550022_41550001.02,04851,Wikingerufer,V,G,STRA,B,Mitte,Moabit,0,41550022,41550001,120.17,20141204,DA13DD4B83684887A5B3B7FB781ABBC7,Wikingerufer,
41550016_41550021.01,04500,Tile-Wardenberg-Straße,V,G,STRA,B,Mitte,Moabit,0,41550016,41550021,157.03,20141204,E3DAD60DE7684437A22A140A1CD34AC2,Tile-Wardenberg-Straße,
41550015_41550026.02,04967,Wullenweberstraße,V,G,STRA,B,Mitte,Moabit,0,41550015,41550026,92.18,20141204,858CAD6FF9C048DAB9A08C7B59993A6F,Wullenweberstraße,
41550026_41540001.02,04967,Wullenweberstraße,V,G,STRA,B,Mitte,Moabit,0,41550026,41540001,176.2,20141204,6399A0485D3C42B79997AFC8699DB0D1,Wullenweberstraße,
41540001_42540001.02,01826,Hansa-Ufer,V,F,STRA,B,Mitte,Moabit,0,41540001,42540001,122.76,20141204,F013F2FE92C34E05926905A252841E5F,Hansa-Ufer,
41540001_42540012.02,07474,Wullenwebersteg,V,F,FUBR,B,Mitte,Moabit,0,41540001,42540012,112.23,20141204,E1839B79CCF84A4AAFE1F24549F7A4B3,Wullenwebersteg,
41550026_41550048.01,06966,Eyke-von-Repkow-Platz,V,G,PLAT,B,Mitte,Moabit,0,41550026,41550048,50.0095,20141204,59E4F2C6472A420FBDB6B45CC36A497A,Eyke-von-Repkow-Platz,
41550048_41550023.01,06966,Eyke-von-Repkow-Platz,V,F,PLAT,B,Mitte,Moabit,0,41550048,41550023,57.86,20141204,70A76360EFEA4DA2A8449B49B1C3CB4C,Eyke-von-Repkow-Platz,
41550021_42540001.02,04500,Tile-Wardenberg-Straße,V,G,STRA,B,Mitte,Moabit,0,41550021,42540001,143.42,20141204,B3BDD2E91B8344EFA0BE689F9D38D4A4,Tile-Wardenberg-Straße,
42540001_42550002.02,01826,Hansa-Ufer,V,G,STRA,B,Mitte,Moabit,0,42540001,42550002,97.52,20141204,ADD32FE5D9F44A1DA404F2B3BE127F11,Hansa-Ufer,
41550021_42550001.02,04209,Solinger Straße,V,G,STRA,B,Mitte,Moabit,0,41550021,42550001,99.5,20141204,108143D39FE44450B3C7B1763F811372,Solinger Straße,
